year,country,region,rank,score,gdp,social_support,health,freedom,generosity,corruption,rank_change,score_change,iso3,gdp_change,social_support_change,health_change,freedom_change,generosity_change,corruption_change
2015,Afghanistan,Southern Asia,153,3.5749999999999997,0.31982000000000005,0.30285,0.30335,0.23414000000000001,0.3651,0.09719000000000001,NA,NA,AFG,NA,NA,NA,NA,NA,NA
2016,Afghanistan,Southern Asia,154,3.36,0.38227,0.11037,0.17344000000000004,0.1643,0.31268,0.07112000000000002,1,-0.21499999999999986,AFG,0.06244999999999995,-0.19248,-0.12990999999999997,-0.06984000000000001,-0.05241999999999997,-0.026069999999999996
2017,Afghanistan,Asia,141,3.7939999103546103,0.4014772176742551,0.5815433263778689,0.180746778845787,0.10617952048778502,0.3118709325790411,0.061157830059528406,-13,0.4339999103546104,AFG,0.019207217674255095,0.4711733263778689,0.007306778845786954,-0.05812047951221498,-8.09067420958931e-4,-0.00996216994047161
2018,Afghanistan,Asia,145,3.6319999999999997,0.33199999999999996,0.537,0.255,0.085,0.191,0.036,4,-0.1619999103546106,AFG,-0.06947721767425513,-0.04454332637786884,0.07425322115421301,-0.021179520487785014,-0.12087093257904108,-0.02515783005952841
2019,Afghanistan,Asia,154,3.2030000000000003,0.35,0.517,0.361,0,0.15800000000000003,0.025,9,-0.4289999999999994,AFG,0.018000000000000016,-0.020000000000000018,0.10599999999999998,-0.085,-0.032999999999999974,-0.010999999999999996
2015,Albania,Central and Eastern Europe,95,4.9590000000000005,0.8786700000000002,0.80434,0.81325,0.35733,0.14272,0.06413,NA,NA,ALB,NA,NA,NA,NA,NA,NA
2016,Albania,Central and Eastern Europe,109,4.654999999999999,0.9553,0.50163,0.73007,0.31866,0.16840000000000002,0.05301000000000001,14,-0.30400000000000116,ALB,0.07662999999999986,-0.30271000000000003,-0.08318000000000003,-0.03866999999999998,0.02568000000000001,-0.011119999999999998
2017,Albania,Europe,109,4.644000053405759,0.996192753314972,0.8036852478981021,0.7311597466468811,0.381498634815216,0.20131294429302202,0.0398642159998417,0,-0.010999946594240306,ALB,0.040892753314972,0.3020552478981021,0.0010897466468811068,0.06283863481521601,0.032912944293021995,-0.013145784000158311
2018,Albania,Europe,112,4.586,0.916,0.8170000000000001,0.7899999999999999,0.41900000000000004,0.14900000000000002,0.032,3,-0.058000053405758756,ALB,-0.080192753314972,0.01331475210189792,0.05884025335311882,0.03750136518478403,-0.052312944293021996,-0.007864215999841696
2019,Albania,Europe,107,4.719,0.9470000000000001,0.8480000000000001,0.8740000000000001,0.383,0.17800000000000002,0.027,-5,0.133,ALB,0.031000000000000028,0.031000000000000028,0.08400000000000019,-0.03600000000000003,0.028999999999999998,-0.005000000000000001
2015,Algeria,Middle East and Northern Africa,68,5.6049999999999995,0.9392900000000001,1.0777199999999998,0.61766,0.28579,0.07822000000000003,0.17383,NA,NA,DZA,NA,NA,NA,NA,NA,NA
2016,Algeria,Middle East and Northern Africa,38,6.3549999999999995,1.05266,0.8330900000000001,0.61804,0.21006000000000002,0.07044,0.16157,-30,0.75,DZA,0.11336999999999986,-0.24462999999999968,3.8000000000004697e-4,-0.07572999999999996,-0.007780000000000023,-0.012260000000000021
