country,region,iso3,avg_score,avg_gdp,avg_social_support,avg_health,avg_freedom,avg_generosity,avg_corruption,total_rank_change,total_score_change
Finland,Europe,FIN,7.623333287556966,1.3628573083877566,1.5730822416941332,0.8897192231814067,0.6316502855618793,0.20016092419624334,0.3895371809800467,-4,0.35599999999999987
Norway,Europe,NOR,7.561666726430256,1.5201543947855634,1.5658411865234367,0.8952221676508587,0.641474195798238,0.30633741243680335,0.3323212781747183,-1,0.05599999999999916
Denmark,Europe,DNK,7.5589999453226735,1.4054610042572033,1.57137386417389,0.8855218415260313,0.6336689074834186,0.297093496243159,0.40625668938954673,1,0.07399999999999984
Switzerland,Western Europe,CHE,7.548,1.46192,1.247375,0.9022300000000001,0.62557,0.28880500000000003,0.415905,1,-0.0779999999999994
Iceland,Western Europe,ISL,7.531000000000001,1.36449,1.292745,0.9075850000000001,0.5975050000000001,0.45654000000000006,0.1456,1,-0.05999999999999961
Denmark,Western Europe,DNK,7.5264999999999995,1.38363,1.2621600000000002,0.83484,0.614395,0.35155,0.46405,-2,-9.999999999994458e-4
Norway,Western Europe,NOR,7.51,1.51822,1.228925,0.8405,0.63291,0.36297,0.36139499999999997,0,-0.023999999999999133
Iceland,Europe,ISL,7.49766672897339,1.4012110068003334,1.6261913356781,0.9245173740386964,0.6317208784421283,0.39418007357915236,0.13650885315736133,1,-0.007000000000000561
Switzerland,Europe,CHE,7.486999986012777,1.4789931844075532,1.5306372483571367,0.9457104298273724,0.6173568588892621,0.26984975941975903,0.35566909511884065,4,-0.028999999999999915
Netherlands,Europe,NLD,7.435333285013834,1.4203148784637467,1.4796464077631633,0.895898708343506,0.593461496035258,0.37516327659289034,0.2918872751394907,-2,0.14900000000000002
Canada,North America,CAN,7.4155,1.3832200000000001,1.209355,0.8666150000000001,0.6033350000000001,0.453225,0.32143,1,-0.022999999999999687
Finland,Western Europe,FIN,7.4095,1.348115,1.22645,0.8500099999999999,0.606365,0.24421500000000002,0.41188,-1,0.006999999999999673
Netherlands,Western Europe,NLD,7.3585,1.39706,1.154645,0.8525750000000001,0.583935,0.47513000000000005,0.308705,0,-0.0389999999999997
Sweden,Western Europe,SWE,7.3275,1.3917599999999999,1.188355,0.87104,0.6209899999999999,0.37258,0.423555,2,-0.07299999999999862
New Zealand,Oceania,NZL,7.315000043233236,1.3255686826705932,1.56873170789083,0.9062532351811727,0.6226873768170672,0.39833504199981695,0.3839389007091524,0,-0.027000000000000135
Sweden,Europe,SWE,7.313666639963786,1.41212908967336,1.48872072315216,0.917625052769979,0.6153080329895021,0.312466417392095,0.3801329095363617,-3,0.0519999999999996
New Zealand,Australia and New Zealand,NZL,7.3100000000000005,1.30542,1.246225,0.869665,0.610425,0.48451,0.42413,-1,0.047999999999999154
Canada,Americas,CAN,7.30733332824707,1.3914014720916732,1.5061163304646799,0.9231858841578167,0.6160336373647054,0.3471799074808757,0.2954571720759074,3,-0.12599999999999945
Australia,Australia and New Zealand,AUS,7.2985,1.389005,1.206995,0.8913800000000001,0.609805,0.45484500000000005,0.33984000000000003,-1,0.028999999999999915
Israel,Middle East and Northern Africa,ISR,7.2725,1.283115,1.1096499999999998,0.8815200000000001,0.388755,0.32730000000000004,0.082565,0,-0.011000000000001009
Australia,Oceania,AUS,7.261333306630454,1.3988049783706666,1.5436806507110599,0.92996226421992,0.6018691274325053,0.3902330833276113,0.297727910121282,2,-0.08499999999999996
Austria,Western Europe,AUT,7.1594999999999995,1.393805,1.190435,0.8480350000000001,0.5839399999999999,0.329765,0.20012000000000002,-1,-0.0810000000000004
Costa Rica,Latin America and Caribbean,CRI,7.156499999999999,1.0122849999999999,1.1296999999999997,0.810865,0.593005,0.24025000000000002,0.10565000000000001,2,-0.13900000000000023
Austria,Europe,AUT,7.1303333473205575,1.4013657544453932,1.4796483211517333,0.9074428064028424,0.572255396525065,0.2674907739162447,0.223686788479487,-2,0.12700000000000067
United States,North America,USA,7.1114999999999995,1.451235,1.147465,0.8203950000000001,0.513835,0.40591,0.15379000000000004,-2,-0.015000000000000568
Costa Rica,Americas,CRI,7.105999998728433,1.0512354275385531,1.438801217079163,0.8465030884742737,0.5900438833236693,0.16720440967877703,0.09803552983204535,-2,0.07999999999999918
Israel,Asia,ISR,7.055333273569743,1.3174608078002934,1.46342998790741,0.9168013332684832,0.43666286794344605,0.315027551651001,0.1464140333533287,2,-0.12799999999999923
Puerto Rico,Latin America and Caribbean,PRI,7.039000000000001,1.35943,1.08113,0.7775799999999999,0.46823,0.22202,0.12275000000000001,0,0
Ireland,Europe,IRL,6.991666745503744,1.4942355464299533,1.5647437051137298,0.8949275414148967,0.567703447341919,0.3442861076196034,0.30479605110486335,-3,0.11399999999999988
United Kingdom,Europe,GBR,6.986000075022379,1.3395446465810132,1.48915336004893,0.896445312976837,0.47406334527333566,0.367591386238734,0.20847602208455404,-8,0.32899999999999974
Mexico,Latin America and Caribbean,MEX,6.9825,1.0678100000000001,0.8145549999999999,0.7629349999999999,0.42945,0.12904500000000002,0.19833499999999998,7,-0.4089999999999989
Brazil,Latin America and Caribbean,BRA,6.9675,1.03439,1.1361249999999998,0.655585,0.44737,0.15175000000000005,0.15843500000000002,1,-0.031000000000000583
Germany,Europe,DEU,6.967000071207684,1.4003077945709232,1.4668401171366365,0.8823169105847677,0.547837128162384,0.29008972334861766,0.27391064604123433,1,-0.008999999999999453
Luxembourg,Europe,LUX,6.954333305358887,1.6423145325978599,1.4855278886159267,0.91769649839401235,0.5848759636878967,0.22439366062482205,0.31861147467295337,-6,0.21899999999999942
Belgium,Western Europe,BEL,6.933,1.3666049999999998,1.1690749999999999,0.8581300000000001,0.54902,0.23245000000000002,0.24394000000000005,-1,-0.008000000000000007
United States,Americas,USA,6.9236666768391935,1.45908642800649,1.4493068545659364,0.8224288759231567,0.5022468411127727,0.3211929268836977,0.13221292944749202,6,-0.21199999999999974
Ireland,Western Europe,IRL,6.923500000000001,1.4096849999999999,1.265525,0.85494,0.578925,0.45432,0.292285,1,-0.03300000000000036
Belgium,Europe,BEL,6.913666598002116,1.38126025358836,1.4831042327880866,0.899363956451416,0.5319235741297403,0.19316777920722966,0.23378104368845634,0,-0.006000000000000227
Luxembourg,Western Europe,LUX,6.9085,1.630715,1.1298099999999998,0.8821800000000001,0.582265,0.278025,0.365635,3,-0.07500000000000018
Germany,Western Europe,DEU,6.872,1.3878949999999999,1.1985549999999998,0.853365,0.5747150000000001,0.29333,0.25197,-10,0.24399999999999977
Oman,Middle East and Northern Africa,OMN,6.853,1.3601100000000002,1.0818199999999998,0.76276,0.6327400000000001,0.21542000000000003,0.32524,0,0
United Kingdom,Western Europe,GBR,6.795999999999999,1.3346,1.1861,0.8596699999999999,0.5483049999999999,0.51034,0.29733,2,-0.14199999999999946
